,author,authorData,downloads,gated,id,inference,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,widgetOutputUrls,sizes,min_size,max_size,trending,mined_date
0,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 354}",7420,False,jinaai/jina-clip-v2,explicit-opt-out,2024-11-29T16:06:07.000Z,97,feature-extraction,False,model,False,,2.09MB | 1.38GB | 1.73GB | 874MB | 1.42GB | 861MB | 874MB | 874MB,2191523.84,1857573355.52,1,04-12-2024
1,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': True, 'followerCount': 219}",1632427,False,nomic-ai/nomic-embed-text-v1.5,custom-code,2024-11-18T20:39:44.000Z,442,sentence-similarity,False,model,False,[],548MB | 138MB,144703488.0,574619648.0,2,04-12-2024
2,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 354}",60832,False,jinaai/jina-embeddings-v2-base-zh,explicit-opt-out,2024-08-06T14:43:26.000Z,216,feature-extraction,False,model,False,,641MB | 321MB | 162MB,169869312.0,672137216.0,3,04-12-2024
3,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 122}",2863251,False,Alibaba-NLP/gte-large-en-v1.5,custom-code,2024-08-09T03:32:05.000Z,177,sentence-similarity,False,model,False,[],1.75GB | 361MB | 873MB | 446MB | 387MB | 446MB | 446MB,378535936.0,1879048192.0,4,04-12-2024
4,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': True, 'followerCount': 219}",607487,False,nomic-ai/nomic-embed-text-v1,custom-code,2024-09-26T14:42:37.000Z,471,sentence-similarity,False,model,False,[],548MB | 138MB,144703488.0,574619648.0,5,04-12-2024
5,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 88}",3296110,False,mixedbread-ai/mxbai-embed-large-v1,warm,2024-11-26T02:58:09.000Z,558,feature-extraction,False,model,False,,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,6,04-12-2024
6,Supabase,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/63267719ff539edeea96336a/I4961jNG67wvlqZP1swzQ.png', 'fullname': 'Supabase', 'name': 'Supabase', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 21}",536325,False,Supabase/gte-small,pipeline-library-pair-not-supported,2024-03-18T18:02:53.000Z,68,feature-extraction,False,model,False,,133MB | 66.7MB | 34MB,35651584.0,139460608.0,7,04-12-2024
7,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False, 'followerCount': 3843}",1872,False,Xenova/gte-small,pipeline-library-pair-not-supported,2024-10-08T13:29:22.000Z,15,feature-extraction,False,model,False,,133MB | 66.7MB | 34MB,35651584.0,139460608.0,8,04-12-2024
8,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False, 'followerCount': 3843}",32,False,Xenova/LaBSE,pipeline-library-pair-not-supported,2024-10-08T13:41:13.000Z,1,feature-extraction,False,model,False,,1.88GB | 941MB | 472MB,494927872.0,2018634629.12,9,04-12-2024
9,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False, 'followerCount': 3843}",60,False,Xenova/bge-base-zh-v1.5,pipeline-library-pair-not-supported,2024-10-08T13:42:33.000Z,2,feature-extraction,False,model,False,,407MB | 204MB | 103MB,108003328.0,426770432.0,10,04-12-2024
