,author,authorData,downloads,gated,id,availableInferenceProviders,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,widgetOutputUrls,numParameters,sizes,min_size,max_size,trending,mined_date
0,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1110, 'isUserFollowing': False}",15847724,False,nomic-ai/nomic-embed-text-v1.5,[],2026-04-07T14:17:02.000Z,822,sentence-similarity,False,model,False,[],136731648.0,547MBxet | 158MBxet | 274MBxet | 137MBxet | 165MBxet | 111MBxet | 137MBxet | 137MBxet,116391936.0,573571072.0,1,12-05-2026
1,mixedbread-ai,"{'_id': '6579b8e83db8c022afd86d63', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 381, 'isUserFollowing': False}",4454184,False,mixedbread-ai/mxbai-embed-large-v1,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'mixedbread-ai/mxbai-embed-large-v1', 'task': 'feature-extraction', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2026-01-23T11:59:58.000Z,796,feature-extraction,False,model,False,,335141888.0,1.34GBxet | 669MBxet | 337MBxet,353370112.0,1438814044.16,2,12-05-2026
2,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7992, 'isUserFollowing': False}",414358,False,Xenova/bge-small-en-v1.5,[],2025-07-22T16:45:37.000Z,15,feature-extraction,False,model,False,,,133MBxet | 60.1MBxet | 66.7MBxet | 33.8MBxet | 61.5MBxet | 36.2MBxet | 34MBxet | 33.8MBxet,35441868.8,139460608.0,3,12-05-2026
3,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1805, 'isUserFollowing': False}",311539,False,jinaai/jina-embeddings-v2-base-code,[],2025-01-06T16:28:09.000Z,137,feature-extraction,False,model,False,,160869120.0,642MBxet | 321MBxet | 162MBxet,169869312.0,673185792.0,4,12-05-2026
4,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7992, 'isUserFollowing': False}",25,False,Xenova/w2v-bert-2.0,[],2025-03-07T10:49:43.000Z,2,feature-extraction,False,model,False,,,988kBxet | 1.16GBxet | 586MBxet,1011712.0,1245540515.84,5,12-05-2026
5,mixedbread-ai,"{'_id': '6579b8e83db8c022afd86d63', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 381, 'isUserFollowing': False}",148751,False,mixedbread-ai/mxbai-embed-2d-large-v1,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'mixedbread-ai/mxbai-embed-2d-large-v1', 'task': 'feature-extraction', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2025-03-13T04:16:28.000Z,43,feature-extraction,False,model,False,,335141888.0,1.34GBxet | 669MBxet | 337MBxet,353370112.0,1438814044.16,6,12-05-2026
6,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1805, 'isUserFollowing': False}",99480,False,jinaai/jina-reranker-v1-tiny-en,[],2025-09-10T09:51:37.000Z,26,text-ranking,False,model,False,,33046273.0,132MBxet | 99.9MBxet | 66.3MBxet | 33.4MBxet | 101MBxet | 33.4MBxet | 33.4MBxet,35022438.4,138412032.0,7,12-05-2026
7,Alibaba-NLP,"{'_id': '661f98de142a51d630dbbcc4', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/63fc4c00a3c067e62899d32b/dfd_EcIfylvu3sdc2WMqX.png', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 1575, 'isUserFollowing': False}",1019029,False,Alibaba-NLP/gte-large-en-v1.5,[],2024-08-09T03:32:05.000Z,235,sentence-similarity,False,model,False,[],,1.75GBxet | 361MBxet | 873MBxet | 446MBxet | 387MBxet | 446MBxet | 446MBxet,378535936.0,1879048192.0,8,12-05-2026
8,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1805, 'isUserFollowing': False}",143895,False,jinaai/jina-clip-v2,[],2026-04-08T14:03:45.000Z,332,feature-extraction,False,model,False,,865278476.0,2.09MBxet | 1.38GBxet | 1.73GBxet | 874MBxet | 1.42GBxet | 861MBxet | 874MBxet | 874MBxet,2191523.84,1857573355.52,9,12-05-2026
9,Alibaba-NLP,"{'_id': '661f98de142a51d630dbbcc4', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/63fc4c00a3c067e62899d32b/dfd_EcIfylvu3sdc2WMqX.png', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 1575, 'isUserFollowing': False}",322175,False,Alibaba-NLP/gte-modernbert-base,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'Alibaba-NLP/gte-modernbert-base', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2025-07-04T10:03:26.000Z,196,sentence-similarity,False,model,False,[],149014272.0,596MBxet | 217MBxet | 298MBxet | 150MBxet | 224MBxet | 140MBxet | 150MBxet | 150MBxet,146800640.0,624951296.0,10,12-05-2026
10,onnx-community,"{'_id': '6650b4b7edd332b9444083a4', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/BpiYJ-m5mXPXfjkzEt6yZ.png', 'fullname': 'ONNX Community', 'name': 'onnx-community', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 1873, 'isUserFollowing': False}",26,False,onnx-community/bge-base-en-v1.5-ONNX,[],2025-08-05T22:15:57.000Z,1,feature-extraction,False,model,False,,,105kBxet | 106kBxet | 131kBxet | 132kBxet,107520.0,135168.0,11,12-05-2026
