,author,authorData,downloads,gated,id,inference,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,widgetOutputUrls,sizes,min_size,max_size,trending,mined_date
0,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",946,False,Snowflake/snowflake-arctic-embed-m-v1.5,NotPopularEnough,2024-07-19T22:18:37.000Z,35,sentence-similarity,False,model,False,[],436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,1,29-07-2024
1,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",1751309,False,mixedbread-ai/mxbai-embed-large-v1,Warm,2024-07-22T14:32:14.000Z,433,feature-extraction,False,model,False,,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,2,29-07-2024
2,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",450841,False,nomic-ai/nomic-embed-text-v1.5,Cold,2024-06-05T15:03:49.000Z,293,sentence-similarity,False,model,False,,548MB | 138MB,144703488.0,574619648.0,3,29-07-2024
3,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",2951172,False,nomic-ai/nomic-embed-text-v1,Cold,2024-06-05T15:02:59.000Z,420,sentence-similarity,False,model,False,,548MB | 138MB,144703488.0,574619648.0,4,29-07-2024
4,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",411450,False,Snowflake/snowflake-arctic-embed-m,Cold,2024-05-10T15:49:33.000Z,112,sentence-similarity,False,model,False,[],436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,5,29-07-2024
5,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",1513532,False,Alibaba-NLP/gte-large-en-v1.5,NotSupported_CustomCode,2024-04-26T13:51:26.000Z,136,sentence-similarity,False,model,False,[],1.75GB | 361MB | 873MB | 446MB | 387MB | 446MB | 446MB,378535936.0,1879048192.0,6,29-07-2024
6,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",1984,False,mixedbread-ai/deepset-mxbai-embed-de-large-v1,NotPopularEnough,2024-07-28T06:24:06.000Z,21,feature-extraction,False,model,False,,1.94GB | 907MB | 973MB | 488MB | 926MB | 539MB | 488MB | 488MB,511705088.0,2083059138.56,7,29-07-2024
7,WhereIsAI,"{'avatarUrl': 'https://www.gravatar.com/avatar/e81bd32cb5ee88835824ad6b60d05697?d=retro&size=100', 'fullname': 'WhereIsAI', 'name': 'WhereIsAI', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",469698,False,WhereIsAI/UAE-Large-V1,Warm,2024-07-28T05:49:12.000Z,198,feature-extraction,False,model,False,,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,8,29-07-2024
8,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",23181,False,jinaai/jina-embeddings-v2-base-zh,NotSupported_ExplicitOptOut,2024-07-03T15:14:29.000Z,162,feature-extraction,False,model,False,,641MB | 321MB | 162MB,169869312.0,672137216.0,9,29-07-2024
9,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",40998,False,Snowflake/snowflake-arctic-embed-l,NotPopularEnough,2024-05-10T15:51:18.000Z,79,sentence-similarity,False,model,False,[],1.34GB | 299MB | 669MB | 337MB | 318MB | 337MB | 337MB,313524224.0,1438814044.16,10,29-07-2024
